,user_id,created_time,object_type,url,page_type,url_split
16711,107807,Mon Jun 11 20:10:14 2018,3.0,discussions-about/29773/?track_id=5b1a5afec803a001b1078ec9&src=d,discussion page,discussions-about
16714,107807,Wed Jun 20 02:00:47 2018,14.0,document-reader/0b4f69fd-70b7-11e8-b504-022ab9c25860/1037/29914/1037/?track_id=5b24e781c803a0181f5a04ec&src=d,document detail,document-reader
16715,107807,Wed Jun 20 02:01:05 2018,,group-library/1037,library,group-library
16717,107807,Fri Jun 22 23:12:48 2018,14.0,document-reader/0b4f69fd-70b7-11e8-b504-022ab9c25860/1037/29914/1037/?track_id=5b24e781c803a0181f5a04ec&src=d,document detail,document-reader
16718,107807,Fri Jun 22 23:22:48 2018,,group-library/1037,library,group-library
16719,107808,Mon Jun 11 21:42:04 2018,3.0,discussions-about/29787/30985,discussion page,discussions-about
16740,107813,Fri Jun 29 21:43:28 2018,3.0,discussions-about/30168/0/,discussion page,discussions-about
16742,107813,Fri Jun 29 21:47:34 2018,3.0,discussions-about/30191/?track_id=5b360acbc803a010ce73266b&src=d,discussion page,discussions-about
16744,107816,Fri Jun 29 22:39:57 2018,3.0,discussions-about/30172/,discussion page,discussions-about
16746,107819,Tue Jun 12 07:48:23 2018,3.0,discussions-about/29787/30985,discussion page,discussions-about
16748,107819,Fri Jun 15 22:42:31 2018,3.0,discussions-about/29865/0/,discussion page,discussions-about
16750,107819,Fri Jun 15 23:19:56 2018,9.0,announcement-detail/29915/?track_id=5b23f327c803a067c35e1340&src=n,announcement,announcement-detail
16752,107819,Fri Jun 15 23:20:07 2018,3.0,discussions-about/29899/0/,discussion page,discussions-about
16754,107819,Fri Jun 15 23:28:15 2018,,group-news/1037,group news,group-news
16755,107819,Fri Jun 15 23:28:37 2018,,group-about/1037/,about page,group-about
16873,108784,Fri Jun 15 21:39:59 2018,4.0,status/29852/?track_id=5b23e42dc803a0099f44b229&src=w,status,status
