,user_id,created_time,object_type,url,page_type
180,1,Fri Jun  8 17:39:26 2018,3.0,discussions-about/29783/0/,discussion page
181,1,Fri Jun  8 17:56:03 2018,NaN,group-news/1813,group news
182,1,Fri Jun  8 17:56:13 2018,3.0,discussions-about/29714/0/,discussion page
183,1,Fri Jun  8 18:01:53 2018,NaN,main-home,main home
184,1,Fri Jun  8 18:02:32 2018,3.0,discussions-about/29783/0,discussion page
185,1,Fri Jun  8 18:02:33 2018,2.0,discussions-about/29783/0,group page
186,1,Fri Jun  8 18:02:43 2018,3.0,discussions-about/29788/0/,discussion page
187,1,Fri Jun  8 18:02:43 2018,2.0,discussions-about/29788/0/,group page
188,1,Fri Jun  8 18:03:23 2018,NaN,group-news/1813,group news
189,1,Fri Jun  8 18:03:47 2018,NaN,group-news/1813,group news
190,1,Fri Jun  8 18:27:39 2018,NaN,main-home,main home
191,1,Fri Jun  8 18:28:01 2018,NaN,group-home/1813,group home
192,1,Fri Jun  8 18:28:02 2018,2.0,group-home/1813,group page
193,1,Fri Jun  8 20:04:08 2018,NaN,group-news/1813,group news
194,1,Fri Jun  8 20:04:08 2018,2.0,group-news/1813,group page
195,1,Fri Jun  8 20:04:16 2018,3.0,discussions-about/29812/,discussion page
196,1,Fri Jun  8 20:04:17 2018,2.0,discussions-about/29812/,group page
197,1,Fri Jun  8 20:04:22 2018,NaN,main-home,main home
198,1,Fri Jun  8 20:07:41 2018,9.0,announcement-detail/29813/,announcement
199,1,Fri Jun  8 20:07:41 2018,2.0,announcement-detail/29813/,group page
200,1,Fri Jun  8 20:09:17 2018,NaN,group-news/1813,group news
201,1,Fri Jun  8 20:09:36 2018,9.0,announcement-detail/29813/,announcement
202,1,Fri Jun  8 20:09:37 2018,2.0,announcement-detail/29813/,group page
203,1,Fri Jun  8 20:32:04 2018,NaN,group-news/1813,group news
204,1,Fri Jun  8 20:32:18 2018,3.0,discussions-about/29788/0/,discussion page
205,1,Fri Jun  8 20:32:21 2018,NaN,group-news/1813,group news
206,1,Fri Jun  8 20:33:07 2018,NaN,group-library/1813/,library
207,1,Fri Jun  8 20:33:16 2018,NaN,group-news/1813,group news
208,1,Fri Jun  8 20:33:17 2018,NaN,group-discussions/1813,discussion
209,1,Fri Jun  8 20:33:24 2018,9.0,announcement-detail/29813/0,announcement
210,1,Fri Jun  8 20:33:41 2018,NaN,group-news/1813,group news
211,1,Fri Jun  8 20:33:54 2018,3.0,discussions-about/29788/0/,discussion page
212,1,Fri Jun  8 20:35:35 2018,3.0,discussions-about/29788/0/,discussion page
213,1,Fri Jun  8 20:35:39 2018,NaN,group-news/1813,group news
214,1,Fri Jun  8 20:35:46 2018,3.0,discussions-about/29783/0/,discussion page
215,1,Fri Jun  8 20:36:12 2018,NaN,group-news/1813,group news
216,1,Fri Jun  8 20:36:22 2018,3.0,discussions-about/29788/0/,discussion page
217,1,Fri Jun  8 20:38:08 2018,3.0,discussions-about/29783/0,discussion page
218,1,Fri Jun  8 20:38:09 2018,2.0,discussions-about/29783/0,group page
219,1,Fri Jun  8 20:40:18 2018,NaN,group-news/1813,group news
220,1,Fri Jun  8 21:04:08 2018,NaN,group-library/1813/,library
221,1,Fri Jun  8 21:04:13 2018,NaN,group-events/1813,events
222,1,Fri Jun  8 21:04:31 2018,NaN,group-news/1813,group news
223,1,Fri Jun  8 21:23:29 2018,NaN,group-news/1813,group news
224,1,Fri Jun  8 21:23:30 2018,3.0,discussions-about/29788/0/,discussion page
225,1,Fri Jun  8 22:08:46 2018,NaN,notification,notification
226,1,Fri Jun  8 22:08:47 2018,NaN,content-notification,content_notif
227,1,Fri Jun  8 22:08:49 2018,NaN,group-library/41,library
228,1,Fri Jun  8 22:08:50 2018,2.0,group-library/41,group page
229,1,Fri Jun  8 22:08:53 2018,NaN,main-home,main home
230,1,Fri Jun  8 22:24:27 2018,NaN,group-admin-members/1813#activeList,group admin
231,1,Fri Jun  8 22:24:28 2018,2.0,group-admin-members/1813#activeList,group page
232,1,Fri Jun  8 22:24:30 2018,NaN,group-news/1813,group news
233,1,Fri Jun  8 22:30:11 2018,NaN,notification,notification
234,1,Fri Jun  8 22:30:12 2018,NaN,content-notification,content_notif
235,1,Fri Jun  8 22:30:14 2018,3.0,discussions-about/29788/31019,discussion page
236,1,Fri Jun  8 22:30:15 2018,2.0,discussions-about/29788/31019,group page
237,1,Fri Jun  8 22:33:51 2018,NaN,group-news/1813,group news
238,1,Fri Jun  8 22:38:59 2018,1.0,profile/4889,profile page
239,1,Fri Jun  8 22:39:03 2018,NaN,main-home,main home
240,1,Fri Jun  8 23:15:04 2018,1.0,profile/113963,profile page
241,1,Fri Jun  8 23:15:08 2018,1.0,profile/113963,profile page
242,1,Fri Jun  8 23:20:01 2018,NaN,main-home,main home
243,1,Fri Jun  8 23:23:51 2018,NaN,myGroups,mygroups
244,1,Fri Jun  8 23:23:55 2018,NaN,main-home,main home
245,1,Fri Jun  8 23:23:59 2018,NaN,group-home/1813,group home
246,1,Fri Jun  8 23:24:01 2018,2.0,group-home/1813,group page
247,1,Fri Jun  8 23:24:10 2018,3.0,discussions-about/29778/0/,discussion page
248,1,Fri Jun  8 23:24:35 2018,3.0,discussions-about/29778/0/,discussion page
249,1,Fri Jun  8 23:24:37 2018,NaN,search?tags=what%20we're%20reading&groups=1813,search
250,1,Fri Jun  8 23:24:38 2018,2.0,search?tags=what%20we're%20reading&groups=1813&my_groups_only=&limit=5&offset=0,group page
